filename,human_scene_word_count,summary_word_count,LLM_scene_word_count,human_scene_sentence_count,human_scene_avg_sentence_length,summary_sentence_count,summary_avg_sentence_length,LLM_scene_sentence_count,LLM_scene_avg_sentence_length,human_scene_TTR,summary_TTR,LLM_scene_TTR,human_scene_CTTR,summary_CTTR,LLM_scene_CTTR,human_scene_MTLD,summary_MTLD,LLM_scene_MTLD
episode_1_scene_12.txt,196,37,309,34,5.764705882352941,4,9.25,73,4.232876712328767,0.5663265306122449,0.6486486486486487,0.5242718446601942,5.60634662226477,2.789943329851663,6.516595692343951,60.2765737874097,32.131578947368425,57.630255681818184
episode_1_scene_14.txt,127,28,270,27,4.703703703703703,4,7.0,49,5.510204081632653,0.6692913385826772,0.9642857142857143,0.5925925925925926,5.333374343674348,3.6080267658177294,6.885303726590964,67.34556342780027,219.52000000000004,90.85331846068043
episode_1_scene_20.txt,324,39,355,37,8.756756756756756,3,13.0,43,8.255813953488373,0.6049382716049383,0.8974358974358975,0.5802816901408451,7.699607172920184,3.962969619506085,7.7310422379202555,125.99315552175565,106.47000000000006,132.08956785602177
episode_1_scene_24.txt,176,27,224,34,5.176470588235294,2,13.5,34,6.588235294117647,0.5909090909090909,0.8518518518518519,0.5446428571428571,5.5432186252458715,3.12990356022295,5.763958213390715,72.52813067150636,51.03,74.89021956087825
episode_1_scene_34.txt,219,26,404,45,4.866666666666666,2,13.0,83,4.867469879518072,0.5296803652968036,0.9230769230769231,0.5222772277227723,5.54269439778296,3.328201177351375,7.422954096904579,55.49775820840614,94.64000000000007,99.42122116078933
episode_1_scene_36.txt,103,19,254,19,5.421052631578948,3,6.333333333333333,56,4.535714285714286,0.6019417475728155,0.8947368421052632,0.5905511811023622,4.319744688608029,2.757764159222963,6.6551738206208535,51.13192294308175,50.540000000000006,106.09005135140603
episode_1_scene_38.txt,239,21,349,32,7.46875,2,10.5,60,5.816666666666666,0.5481171548117155,0.8571428571428571,0.5530085959885387,5.991800534077162,2.7774602993176543,7.305157733608083,58.372350502924505,41.15999999999999,119.79477042585657
episode_1_scene_4.txt,238,20,250,30,7.933333333333334,2,10.0,47,5.319148936170213,0.5714285714285714,1.0,0.648,6.233549779791837,3.162277660168379,7.244860247099318,70.87326904055391,0.0,134.08605603972086
episode_1_scene_5.txt,193,30,346,23,8.391304347826088,2,15.0,58,5.9655172413793105,0.616580310880829,0.8666666666666667,0.5028901734104047,6.056940522855522,3.3565855667130946,6.614487515046438,65.80146934728492,63.00000000000002,70.04165716457621
episode_1_scene_6.txt,327,29,412,45,7.266666666666667,3,9.666666666666666,74,5.5675675675675675,0.5474006116207951,0.8620689655172413,0.48058252427184467,6.999453888701687,3.2826608214930637,6.897656841487015,104.7810784569999,58.869999999999976,88.67137588192142
episode_1_scene_8.txt,145,37,251,30,4.833333333333333,4,9.25,38,6.605263157894737,0.5724137931034483,0.7297297297297297,0.5697211155378487,4.873927821972038,3.1386862460831204,6.382402350287561,45.36445536445537,34.29008759124088,83.66666666666667
episode_3_scene_10.txt,173,44,300,27,6.407407407407407,4,11.0,69,4.3478260869565215,0.5722543352601156,0.7045454545454546,0.5366666666666666,5.3222729726476565,3.3046111035119616,6.572797476468194,65.06962923107025,36.567567567567565,83.01559892007477
episode_3_scene_11.txt,249,29,400,35,7.114285714285714,2,14.5,69,5.797101449275362,0.5461847389558233,0.896551724137931,0.485,6.094305723295803,3.4139672543527864,6.858935777509511,69.31644697010998,78.49333333333335,98.33997343957503
episode_3_scene_13.txt,213,22,450,32,6.65625,4,5.5,72,6.25,0.539906103286385,0.8181818181818182,0.5044444444444445,5.571768205782356,2.7136021011998728,7.566666666666666,53.982798165137616,33.88000000000001,96.05538613897747
episode_3_scene_2.txt,237,24,432,33,7.181818181818182,2,12.0,76,5.684210526315789,0.6118143459915611,0.9166666666666666,0.5,6.660070576532068,3.1754264805429417,7.348469228349534,101.21173501844862,80.63999999999999,105.44801512287334
episode_3_scene_3.txt,244,24,297,31,7.870967741935484,2,12.0,45,6.6,0.5778688524590164,0.7916666666666666,0.5488215488215489,6.382770095997556,2.7424137786507226,6.687971009877078,81.33333333333333,32.256,81.51773503492156
episode_3_scene_6.txt,219,39,306,39,5.615384615384615,5,7.8,40,7.65,0.589041095890411,0.8974358974358975,0.5915032679738562,6.163858425120706,3.962969619506085,7.316491355262712,75.44457274826789,106.47000000000006,113.40114855714137
episode_4_scene_12.txt,205,26,292,31,6.612903225806452,3,8.666666666666666,63,4.634920634920635,0.5463414634146342,0.6923076923076923,0.5684931506849316,5.531285741237702,2.4961508830135313,6.869128875399654,56.017304817753256,22.578947368421055,81.96329042570443
episode_4_scene_13.txt,256,32,437,40,6.4,4,8.0,74,5.905405405405405,0.55078125,0.8125,0.5148741418764302,6.23137850920645,3.25,7.610738529282057,60.180481672715395,47.78666666666667,100.0639220807401
episode_4_scene_16.txt,244,21,287,30,8.133333333333333,2,10.5,48,5.979166666666667,0.5450819672131147,0.9047619047619048,0.5853658536585366,6.020627111827482,2.931763649279746,7.012184517489331,74.12682467430545,61.74000000000001,94.73582298968822
episode_4_scene_4.txt,321,35,352,42,7.642857142857143,5,7.0,59,5.966101694915254,0.514018691588785,0.7714285714285715,0.4744318181818182,6.512030563201832,3.2271172452028627,6.294049318060816,73.60678807947019,42.875000000000014,52.905127014825524
episode_4_scene_5.txt,238,20,333,29,8.206896551724139,3,6.666666666666667,58,5.741379310344827,0.5210084033613446,0.95,0.5285285285285285,5.6835306815749105,3.00416377715996,6.819861472970731,76.0055928411633,111.99999999999991,104.35329341317365
episode_4_scene_6.txt,233,30,373,37,6.297297297297297,3,10.0,70,5.328571428571428,0.575107296137339,0.8333333333333334,0.5227882037533512,6.207430131801865,3.227486121839514,7.1394572528975715,58.54128509458971,50.40000000000001,93.84775641025641
episode_5_scene_11.txt,203,29,328,29,7.0,4,7.25,56,5.857142857142857,0.5665024630541872,0.9310344827586207,0.5670731707317073,5.707354170332849,3.545273687212509,7.262079927820182,61.280805573093346,117.73999999999998,111.44474689860527
episode_5_scene_13.txt,226,36,363,38,5.947368421052632,4,9.0,51,7.117647058823529,0.5752212389380531,0.8888888888888888,0.4765840220385675,6.114685644493382,3.771236166328254,6.420632204568028,50.88593004769476,90.71999999999997,69.16466876971609
episode_5_scene_3.txt,202,32,194,30,6.733333333333333,3,10.666666666666666,47,4.127659574468085,0.5495049504950495,0.84375,0.5412371134020618,5.52245640566544,3.375,5.330567366951501,73.61264148988526,57.34400000000001,68.43837998985327
episode_5_scene_7.txt,246,33,284,32,7.6875,2,16.5,56,5.071428571428571,0.524390243902439,0.7575757575757576,0.5140845070422535,5.815769143604938,3.077287274483318,6.12602391556583,76.37593802840519,38.115,89.2694792854428
episode_5_scene_8.txt,173,22,436,30,5.766666666666667,2,11.0,90,4.844444444444444,0.5144508670520231,0.9090909090909091,0.46788990825688076,4.784669642077186,3.015113445777636,6.908311707081683,56.73556088681251,67.75999999999998,63.63075616056743
episode_5_scene_9.txt,294,34,387,46,6.391304347826087,4,8.5,72,5.375,0.48639455782312924,0.7058823529411765,0.4883720930232558,5.897220606722606,2.9104275004359956,6.79346471181662,47.93025532251265,27.97163120567376,67.122341965083
episode_6_scene_12.txt,168,25,275,18,9.333333333333334,3,8.333333333333334,37,7.4324324324324325,0.5773809523809523,0.76,0.5381818181818182,5.291783838222815,2.6870057685088806,6.310741204126068,58.04746625840547,29.16666666666667,83.17808101075336
episode_6_scene_22.txt,299,21,296,30,9.966666666666667,2,10.5,44,6.7272727272727275,0.5351170568561873,0.9047619047619048,0.597972972972973,6.542886560876246,2.931763649279746,7.27465518826206,69.08712121212122,61.74000000000001,101.96208649913368
episode_6_scene_4.txt,282,36,312,35,8.057142857142857,3,12.0,51,6.117647058823529,0.599290780141844,0.8333333333333334,0.5705128205128205,7.116183733012085,3.5355339059327378,7.125702844326377,72.74886871893077,60.48000000000001,119.31423048385207
episode_6_scene_5.txt,270,20,323,38,7.105263157894737,2,10.0,65,4.969230769230769,0.4925925925925926,0.95,0.5356037151702786,5.723408722728738,3.00416377715996,6.806593961904082,64.96621621621621,111.99999999999991,104.71203805342115
episode_6_scene_8.txt,232,35,330,28,8.285714285714286,3,11.666666666666666,43,7.674418604651163,0.5646551724137931,0.8857142857142857,0.5303030303030303,6.081522325298449,3.70520868893662,6.811865761413326,81.72170200898844,85.74999999999997,90.89757617545297
episode_6_scene_9.txt,191,31,323,28,6.821428571428571,3,10.333333333333334,53,6.09433962264151,0.5759162303664922,0.7741935483870968,0.4953560371517028,5.628089611063159,3.048003048004572,6.29511580291707,74.76585151063541,38.440000000000005,80.83026838966202
